address	type	length	references	value
1800ea810	TerminatedCString	35	2	EspCreateFileStreamReferenceByPath
1800ea838	TerminatedCString	33	2	EspCreateFileStreamReferenceById
1800ea860	TerminatedCString	25	2	EspCreateVolumeReference
1800ea880	TerminatedCString	23	2	EspCreateDiskReference
1800ea898	TerminatedCString	30	2	EspCreateRegistryKeyReference
1800ea8b8	TerminatedCString	26	2	EspCreateDesktopReference
1800ea8d8	TerminatedCString	23	2	EspCreatePipeReference
1800ea8f0	TerminatedCString	27	2	EspCreateMailslotReference
1800ea910	TerminatedCString	31	2	EspGetEventObjectFromReference
1800ea930	TerminatedCString	29	2	EspCloseEventObjectReference
1800ea950	TerminatedCString	28	2	EspSetEventObjectContextKey
1800ea970	TerminatedCString	23	2	EspSetClientContextKey
1800ea988	TerminatedCString	33	2	EspEnumerateAllClientContextKeys
1800ea9b0	TerminatedCString	38	2	EspEnumerateAllEventObjectContextKeys
1800ea9d8	TerminatedCString	24	2	EspGetEventCapabilities
1800ea9f0	TerminatedCString	14	2	EspFreeMemory
1800eaa00	TerminatedCString	20	2	EspCreateCollection
1800eaa18	TerminatedCString	19	2	EspGetCollectionId
1800eaa30	TerminatedCString	21	2	EspGetCollectionType
1800eaa48	TerminatedCString	18	2	EspOpenCollection
1800eaa60	TerminatedCString	26	2	EspEnumerateCollectionIds
1800eaa80	TerminatedCString	19	2	EspCloseCollection
1800eaa98	TerminatedCString	20	2	EspUpdateCollection
1800eaab0	TerminatedCString	30	2	EspEnumerateCollectionEntries
1800eaad0	TerminatedCString	26	2	EspEnumerateEventQueueIds
1800eaaf0	TerminatedCString	24	2	EspStringMatchesPattern
1800eab08	TerminatedCString	30	163	C:\__w\1\s\client\dll\api.cpp
1800eab28	TerminatedCString	7	1	Thread
1800eab30	TerminatedCString	8	1	Process
1800eab38	TerminatedCString	11	1	FileStream
1800eab44	TerminatedCString	5	1	File
1800eab50	TerminatedCString	11	1	FileObject
1800eab5c	TerminatedCString	7	1	Volume
1800eab64	TerminatedCString	5	1	Disk
1800eab70	TerminatedCString	12	1	RegistryKey
1800eab80	TerminatedCString	18	1	RegistryKeyObject
1800eab98	TerminatedCString	8	1	Desktop
1800eaba0	TerminatedCString	15	1	KtmTransaction
1800eabb0	TerminatedCString	5	1	Pipe
1800eabb8	TerminatedCString	9	1	Mailslot
1800eabc4	TerminatedCString	6	1	Token
1800eabcc	TerminatedCString	6	1	Event
1800eabd4	TerminatedCString	7	1	Client
1800eabe0	unicode	44	1	Local\SM0:%lu:%lu:%hs
1800eac30	GUID	16	14	00000000-0000-0000-0000-000000000000
1800eb950	unicode	20	4	ntdll.dll
1800eb968	TerminatedCString	30	1	RtlDisownModuleHeapAllocation
1800eb988	TerminatedCString	4	14	wil
1800eb990	TerminatedCString	10	1	Exception
1800eb9a0	TerminatedCString	9	1	ReturnNt
1800eb9b0	TerminatedCString	9	1	ReturnHr
1800eb9bc	TerminatedCString	6	1	LogNt
1800eb9c4	TerminatedCString	6	1	LogHr
1800eb9d0	TerminatedCString	9	1	FailFast
1800eb9e0	unicode	34	1	%hs(%u)\%hs!%p: 
1800eba08	unicode	18	1	%hs!%p: 
1800eba20	unicode	28	1	(caller: %p) 
1800eba40	unicode	50	1	%hs(%d) tid(%x) %08X %ws
1800eba78	unicode	10	1	    
1800eba88	unicode	22	1	Msg:[%ws] 
1800ebaa0	unicode	38	1	CallContext:[%hs] 
1800ebac8	unicode	24	1	[%hs(%hs)] 
1800ebae0	unicode	14	1	[%hs] 
1800ebaf0	unicode	4	1	 
1800ebaf8	string	52	5	C:\__w\1\s\client\wil\wil\opensource\wil\resource.h
1800ebb2c	unicode	2	61	
1800ebb2e	TerminatedCString	1	70	
1800ebdd0	TerminatedCString	18	1	Unknown exception
1800ebde8	unicode	30	2	kernelbase.dll
1800ebe08	TerminatedCString	23	1	RaiseFailFastException
1800ebe20	TerminatedCString	14	1	WIL Exception
1800ebe30	TerminatedCString	27	1	RtlNtStatusToDosErrorNoTeb
1800ebe50	TerminatedCString	25	1	RtlDllShutdownInProgress
1800ebe70	TerminatedCString	25	1	WilFailureNotifyWatchers
1800ebe90	TerminatedCString	35	1	C:\__w\1\s\client\lib\collection.h
1800ebeb8	TerminatedCString	35	1	C:\__w\1\s\client\lib\eventqueue.h
1800ebee0	TerminatedCString	31	150	C:\__w\1\s\client\lib\core.cpp
1800ebf00	unicode	10	3	HKLM
1800ebf10	unicode	36	3	\REGISTRY\MACHINE
1800ebf38	unicode	8	3	HKU
1800ebf40	unicode	30	0	\REGISTRY\USER
1800ebfa0	TerminatedCString	38	4	C:\__w\1\s\client\lib\rustexports.cpp
1800ebfc8	TerminatedCString	32	24	C:\__w\1\s\client\lib\message.h
1800ebfe8	TerminatedCString	33	117	C:\__w\1\s\client\lib\client.cpp
1800ec010	unicode	30	14	\EspFilterPort
1800ec030	TerminatedCString	37	88	C:\__w\1\s\client\lib\eventqueue.cpp
1800ec058	TerminatedCString	33	6	C:\__w\1\s\client\lib\filter.cpp
1800ec080	TerminatedCString	31	2	C:\__w\1\s\client\lib\rule.cpp
1800ec0a0	TerminatedCString	35	4	C:\__w\1\s\client\lib\rustrule.cpp
1800ec0c8	TerminatedCString	37	6	C:\__w\1\s\client\lib\rustfilter.cpp
1800f08d7	string	29	0	ActivityStoppedAutomatically
1800f0903	string	29	0	ActivityStoppedAutomatically
1800f092f	string	25	0	ActivityIntermediateStop
1800f0948	string	15	0	PartA_PrivTags
1800f0957	string	13	0	 wilActivity
1800f0966	string	8	0	hresult
1800f096f	string	9	0	threadId
1800f0988	string	14	0	ActivityError
1800f0996	string	15	0	PartA_PrivTags
1800f09a5	string	13	0	 wilActivity
1800f09b4	string	8	0	hresult
1800f09bd	string	9	0	fileName
1800f09c7	string	11	0	lineNumber
1800f09d3	string	7	0	module
1800f09db	string	12	0	failureType
1800f09e8	string	8	0	message
1800f09f1	string	9	0	threadId
1800f09fb	string	12	0	callContext
1800f0a08	string	21	0	originatingContextId
1800f0a1e	string	23	0	originatingContextName
1800f0a36	string	26	0	originatingContextMessage
1800f0a51	string	17	0	currentContextId
1800f0a63	string	19	0	currentContextName
1800f0a77	string	22	0	currentContextMessage
1800f0a8e	string	10	0	failureId
1800f0a99	string	13	0	failureCount
1800f0aa7	string	9	0	function
1800f0ac0	string	25	0	ActivityIntermediateStop
1800f0ad9	string	15	0	PartA_PrivTags
1800f0ae8	string	13	0	 wilActivity
1800f0af7	string	8	0	hresult
1800f0b00	string	9	0	threadId
1800f0b19	string	14	0	ActivityError
1800f0b27	string	15	0	PartA_PrivTags
1800f0b36	string	13	0	 wilActivity
1800f0b45	string	8	0	hresult
1800f0b4e	string	9	0	fileName
1800f0b58	string	11	0	lineNumber
1800f0b64	string	7	0	module
1800f0b6c	string	12	0	failureType
1800f0b79	string	8	0	message
1800f0b82	string	9	0	threadId
1800f0b8c	string	12	0	callContext
1800f0b99	string	21	0	originatingContextId
1800f0baf	string	23	0	originatingContextName
1800f0bc7	string	26	0	originatingContextMessage
1800f0be2	string	17	0	currentContextId
1800f0bf4	string	19	0	currentContextName
1800f0c08	string	22	0	currentContextMessage
1800f0c1f	string	10	0	failureId
1800f0c2a	string	13	0	failureCount
1800f0c38	string	9	0	function
1800f0c51	string	24	0	EspStringMatchesPattern
1800f0c69	string	15	0	PartA_PrivTags
1800f0c78	string	13	0	 wilActivity
1800f0c87	string	8	0	hresult
1800f0c90	string	9	0	threadId
1800f0c9a	string	8	0	Matches
1800f0cb3	string	24	0	EspStringMatchesPattern
1800f0ccb	string	15	0	PartA_PrivTags
1800f0cda	string	16	0	 PartA_PrivTags
1800f0cea	string	13	0	 wilActivity
1800f0cf9	string	8	0	hresult
1800f0d02	string	9	0	fileName
1800f0d0c	string	11	0	lineNumber
1800f0d18	string	7	0	module
1800f0d20	string	12	0	failureType
1800f0d2d	string	8	0	message
1800f0d36	string	9	0	threadId
1800f0d40	string	12	0	callContext
1800f0d4d	string	21	0	originatingContextId
1800f0d63	string	23	0	originatingContextName
1800f0d7b	string	26	0	originatingContextMessage
1800f0d96	string	17	0	currentContextId
1800f0da8	string	19	0	currentContextName
1800f0dbc	string	22	0	currentContextMessage
1800f0dd3	string	10	0	failureId
1800f0dde	string	13	0	failureCount
1800f0dec	string	9	0	function
1800f0df6	string	8	0	Matches
1800f0e0f	string	24	0	EspStringMatchesPattern
1800f0e27	string	15	0	PartA_PrivTags
1800f0e36	string	13	0	 wilActivity
1800f0e45	string	9	0	threadId
1800f0e4f	string	7	0	String
1800f0e57	string	8	0	Pattern
1800f0e6f	string	24	0	EspStringMatchesPattern
1800f0e87	string	15	0	PartA_PrivTags
1800f0e96	string	13	0	 wilActivity
1800f0ea5	string	8	0	hresult
1800f0eae	string	9	0	threadId
1800f0ec7	string	24	0	EspStringMatchesPattern
1800f0edf	string	15	0	PartA_PrivTags
1800f0eee	string	16	0	 PartA_PrivTags
1800f0efe	string	13	0	 wilActivity
1800f0f0d	string	8	0	hresult
1800f0f16	string	9	0	fileName
1800f0f20	string	11	0	lineNumber
1800f0f2c	string	7	0	module
1800f0f34	string	12	0	failureType
1800f0f41	string	8	0	message
1800f0f4a	string	9	0	threadId
1800f0f54	string	12	0	callContext
1800f0f61	string	21	0	originatingContextId
1800f0f77	string	23	0	originatingContextName
1800f0f8f	string	26	0	originatingContextMessage
1800f0faa	string	17	0	currentContextId
1800f0fbc	string	19	0	currentContextName
1800f0fd0	string	22	0	currentContextMessage
1800f0fe7	string	10	0	failureId
1800f0ff2	string	13	0	failureCount
1800f1000	string	9	0	function
1800f1019	string	26	0	EspEnumerateEventQueueIds
1800f1033	string	15	0	PartA_PrivTags
1800f1042	string	13	0	 wilActivity
1800f1051	string	8	0	hresult
1800f105a	string	9	0	threadId
1800f1064	string	19	0	EventQueueIdsCount
1800f1087	string	26	0	EspEnumerateEventQueueIds
1800f10a1	string	15	0	PartA_PrivTags
1800f10b0	string	16	0	 PartA_PrivTags
1800f10c0	string	13	0	 wilActivity
1800f10cf	string	8	0	hresult
1800f10d8	string	9	0	fileName
1800f10e2	string	11	0	lineNumber
1800f10ee	string	7	0	module
1800f10f6	string	12	0	failureType
1800f1103	string	8	0	message
1800f110c	string	9	0	threadId
1800f1116	string	12	0	callContext
1800f1123	string	21	0	originatingContextId
1800f1139	string	23	0	originatingContextName
1800f1151	string	26	0	originatingContextMessage
1800f116c	string	17	0	currentContextId
1800f117e	string	19	0	currentContextName
1800f1192	string	22	0	currentContextMessage
1800f11a9	string	10	0	failureId
1800f11b4	string	13	0	failureCount
1800f11c2	string	9	0	function
1800f11cc	string	19	0	EventQueueIdsCount
1800f11ef	string	26	0	EspEnumerateEventQueueIds
1800f1209	string	15	0	PartA_PrivTags
1800f1218	string	13	0	 wilActivity
1800f1227	string	9	0	threadId
1800f1231	string	9	0	ClientId
1800f123b	string	9	0	Lifetime
1800f1254	string	26	0	EspEnumerateEventQueueIds
1800f126e	string	15	0	PartA_PrivTags
1800f127d	string	13	0	 wilActivity
1800f128c	string	8	0	hresult
1800f1295	string	9	0	threadId
1800f12ae	string	26	0	EspEnumerateEventQueueIds
1800f12c8	string	15	0	PartA_PrivTags
1800f12d7	string	16	0	 PartA_PrivTags
1800f12e7	string	13	0	 wilActivity
1800f12f6	string	8	0	hresult
1800f12ff	string	9	0	fileName
1800f1309	string	11	0	lineNumber
1800f1315	string	7	0	module
1800f131d	string	12	0	failureType
1800f132a	string	8	0	message
1800f1333	string	9	0	threadId
1800f133d	string	12	0	callContext
1800f134a	string	21	0	originatingContextId
1800f1360	string	23	0	originatingContextName
1800f1378	string	26	0	originatingContextMessage
1800f1393	string	17	0	currentContextId
1800f13a5	string	19	0	currentContextName
1800f13b9	string	22	0	currentContextMessage
1800f13d0	string	10	0	failureId
1800f13db	string	13	0	failureCount
1800f13e9	string	9	0	function
1800f1402	string	30	0	EspEnumerateCollectionEntries
1800f1420	string	15	0	PartA_PrivTags
1800f142f	string	13	0	 wilActivity
1800f143e	string	8	0	hresult
1800f1447	string	9	0	threadId
1800f1451	string	13	0	EntriesCount
1800f146e	string	30	0	EspEnumerateCollectionEntries
1800f148c	string	15	0	PartA_PrivTags
1800f149b	string	16	0	 PartA_PrivTags
1800f14ab	string	13	0	 wilActivity
1800f14ba	string	8	0	hresult
1800f14c3	string	9	0	fileName
1800f14cd	string	11	0	lineNumber
1800f14d9	string	7	0	module
1800f14e1	string	12	0	failureType
1800f14ee	string	8	0	message
1800f14f7	string	9	0	threadId
1800f1501	string	12	0	callContext
1800f150e	string	21	0	originatingContextId
1800f1524	string	23	0	originatingContextName
1800f153c	string	26	0	originatingContextMessage
1800f1557	string	17	0	currentContextId
1800f1569	string	19	0	currentContextName
1800f157d	string	22	0	currentContextMessage
1800f1594	string	10	0	failureId
1800f159f	string	13	0	failureCount
1800f15ad	string	9	0	function
1800f15b7	string	13	0	EntriesCount
1800f15d4	string	30	0	EspEnumerateCollectionEntries
1800f15f2	string	15	0	PartA_PrivTags
1800f1601	string	13	0	 wilActivity
1800f1610	string	9	0	threadId
1800f161a	string	13	0	CollectionId
1800f1637	string	30	0	EspEnumerateCollectionEntries
1800f1655	string	15	0	PartA_PrivTags
1800f1664	string	13	0	 wilActivity
1800f1673	string	8	0	hresult
1800f167c	string	9	0	threadId
1800f1695	string	30	0	EspEnumerateCollectionEntries
1800f16b3	string	15	0	PartA_PrivTags
1800f16c2	string	16	0	 PartA_PrivTags
1800f16d2	string	13	0	 wilActivity
1800f16e1	string	8	0	hresult
1800f16ea	string	9	0	fileName
1800f16f4	string	11	0	lineNumber
1800f1700	string	7	0	module
1800f1708	string	12	0	failureType
1800f1715	string	8	0	message
1800f171e	string	9	0	threadId
1800f1728	string	12	0	callContext
1800f1735	string	21	0	originatingContextId
1800f174b	string	23	0	originatingContextName
1800f1763	string	26	0	originatingContextMessage
1800f177e	string	17	0	currentContextId
1800f1790	string	19	0	currentContextName
1800f17a4	string	22	0	currentContextMessage
1800f17bb	string	10	0	failureId
1800f17c6	string	13	0	failureCount
1800f17d4	string	9	0	function
1800f17ed	string	20	0	EspUpdateCollection
1800f1801	string	15	0	PartA_PrivTags
1800f1810	string	13	0	 wilActivity
1800f181f	string	9	0	threadId
1800f1829	string	13	0	CollectionId
1800f1837	string	13	0	EntriesCount
1800f1854	string	20	0	EspUpdateCollection
1800f1868	string	15	0	PartA_PrivTags
1800f1877	string	13	0	 wilActivity
1800f1886	string	8	0	hresult
1800f188f	string	9	0	threadId
1800f18a8	string	20	0	EspUpdateCollection
1800f18bc	string	15	0	PartA_PrivTags
1800f18cb	string	16	0	 PartA_PrivTags
1800f18db	string	13	0	 wilActivity
1800f18ea	string	8	0	hresult
1800f18f3	string	9	0	fileName
1800f18fd	string	11	0	lineNumber
1800f1909	string	7	0	module
1800f1911	string	12	0	failureType
1800f191e	string	8	0	message
1800f1927	string	9	0	threadId
1800f1931	string	12	0	callContext
1800f193e	string	21	0	originatingContextId
1800f1954	string	23	0	originatingContextName
1800f196c	string	26	0	originatingContextMessage
1800f1987	string	17	0	currentContextId
1800f1999	string	19	0	currentContextName
1800f19ad	string	22	0	currentContextMessage
1800f19c4	string	10	0	failureId
1800f19cf	string	13	0	failureCount
1800f19dd	string	9	0	function
1800f19f6	string	19	0	EspCloseCollection
1800f1a09	string	15	0	PartA_PrivTags
1800f1a18	string	13	0	 wilActivity
1800f1a27	string	9	0	threadId
1800f1a31	string	13	0	CollectionId
1800f1a4e	string	19	0	EspCloseCollection
1800f1a61	string	15	0	PartA_PrivTags
1800f1a70	string	13	0	 wilActivity
1800f1a7f	string	8	0	hresult
1800f1a88	string	9	0	threadId
1800f1aa1	string	19	0	EspCloseCollection
1800f1ab4	string	15	0	PartA_PrivTags
1800f1ac3	string	16	0	 PartA_PrivTags
1800f1ad3	string	13	0	 wilActivity
1800f1ae2	string	8	0	hresult
1800f1aeb	string	9	0	fileName
1800f1af5	string	11	0	lineNumber
1800f1b01	string	7	0	module
1800f1b09	string	12	0	failureType
1800f1b16	string	8	0	message
1800f1b1f	string	9	0	threadId
1800f1b29	string	12	0	callContext
1800f1b36	string	21	0	originatingContextId
1800f1b4c	string	23	0	originatingContextName
1800f1b64	string	26	0	originatingContextMessage
1800f1b7f	string	17	0	currentContextId
1800f1b91	string	19	0	currentContextName
1800f1ba5	string	22	0	currentContextMessage
1800f1bbc	string	10	0	failureId
1800f1bc7	string	13	0	failureCount
1800f1bd5	string	9	0	function
1800f1bee	string	26	0	EspEnumerateCollectionIds
1800f1c08	string	15	0	PartA_PrivTags
1800f1c17	string	13	0	 wilActivity
1800f1c26	string	8	0	hresult
1800f1c2f	string	9	0	threadId
1800f1c39	string	19	0	CollectionIdsCount
1800f1c5c	string	26	0	EspEnumerateCollectionIds
1800f1c76	string	15	0	PartA_PrivTags
1800f1c85	string	16	0	 PartA_PrivTags
1800f1c95	string	13	0	 wilActivity
1800f1ca4	string	8	0	hresult
1800f1cad	string	9	0	fileName
1800f1cb7	string	11	0	lineNumber
1800f1cc3	string	7	0	module
1800f1ccb	string	12	0	failureType
1800f1cd8	string	8	0	message
1800f1ce1	string	9	0	threadId
1800f1ceb	string	12	0	callContext
1800f1cf8	string	21	0	originatingContextId
1800f1d0e	string	23	0	originatingContextName
1800f1d26	string	26	0	originatingContextMessage
1800f1d41	string	17	0	currentContextId
1800f1d53	string	19	0	currentContextName
1800f1d67	string	22	0	currentContextMessage
1800f1d7e	string	10	0	failureId
