1800c3e90	EspEnumerateEventQueueIds	long __fastcall EspEnumerateEventQueueIds(longlong * param_1, uint param_2, uint * param_3, undefined8 * param_4)
1800c4200	EspEnumerateCollectionEntries	long __fastcall EspEnumerateCollectionEntries(longlong * param_1, uint * param_2, undefined8 * param_3, uint param_4)
1800c4590	EspEnumerateCollectionIds	long __fastcall EspEnumerateCollectionIds(longlong * param_1, uint param_2, uint * param_3, undefined8 * param_4)
1800c4900	EspUpdateCollection	ulonglong __fastcall EspUpdateCollection(longlong * param_1, uint param_2, uint param_3, longlong param_4)
1800c4bd0	EspCloseCollection	undefined8 __fastcall EspCloseCollection(longlong * param_1)
1800c4d90	EspOpenCollection	int __fastcall EspOpenCollection(longlong * param_1, longlong * param_2, _RefCountBase * param_3)
1800c51f0	EspGetCollectionType	undefined4 __fastcall EspGetCollectionType(longlong * param_1, uint * param_2)
1800c5360	EspGetCollectionId	undefined8 __fastcall EspGetCollectionId(longlong * param_1, undefined8 * param_2)
1800c54e0	EspCreateCollection	int __fastcall EspCreateCollection(longlong * param_1, undefined8 * param_2, _RefCountBase * param_3)
1800c59e0	EspCreateDesktopReference	int __fastcall EspCreateDesktopReference(longlong * param_1, wchar_t * param_2, undefined8 * param_3)
1800c5ce0	EspCreateRegistryKeyReference	int __fastcall EspCreateRegistryKeyReference(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c62d0	EspCreateMailslotReference	int __fastcall EspCreateMailslotReference(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c6660	EspCreatePipeReference	int __fastcall EspCreatePipeReference(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c69f0	EspCreateDiskReference	int __fastcall EspCreateDiskReference(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c6d80	EspCreateVolumeReference	long __fastcall EspCreateVolumeReference(longlong * param_1, longlong * param_2, undefined8 * param_3)
1800c7080	EspCreateFileStreamReferenceById	int __fastcall EspCreateFileStreamReferenceById(longlong * param_1, longlong * param_2, longlong param_3, wchar_t * param_4, _RefCountBase * param_5)
1800c7540	EspCreateFileStreamReferenceByPath	int __fastcall EspCreateFileStreamReferenceByPath(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c78d0	EspCreateFileReferenceById	long __fastcall EspCreateFileReferenceById(longlong * param_1, longlong * param_2, longlong param_3, _RefCountBase * param_4)
1800c7c20	EspCreateFileReferenceByPath	int __fastcall EspCreateFileReferenceByPath(longlong * param_1, int * param_2, _RefCountBase * param_3)
1800c7fb0	EspIsClientPropertySupported	ulonglong __fastcall EspIsClientPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c81d0	EspIsEventPropertySupported	ulonglong __fastcall EspIsEventPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c83f0	EspIsTokenPropertySupported	ulonglong __fastcall EspIsTokenPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c8610	EspIsMailslotPropertySupported	ulonglong __fastcall EspIsMailslotPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c8830	EspIsPipePropertySupported	ulonglong __fastcall EspIsPipePropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c8a50	EspIsKtmTransactionPropertySupported	ulonglong __fastcall EspIsKtmTransactionPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c8c70	EspIsDesktopPropertySupported	ulonglong __fastcall EspIsDesktopPropertySupported(longlong * param_1, uint param_2, int * param_3)
1800c8e90	EspIsRegistryKeyObjectPropertySupported	ulonglong __fastcall EspIsRegistryKeyObjectPropertySupported(longlong * param_1, uint param_2, int * param_3)
