caller_address	caller	callsite	callee_address	callee
180001340	wesp::impl$0::main	180002228	1802ef620	core::ptr::drop_in_place<nt_types::arc::Strong<nt_types::push_lock::PushLock<wesp_lib::event_object::EventObjectManagerInner>_>_>
180001340	wesp::impl$0::main	180002230	1803b4201	ExFreePool
180001340	wesp::impl$0::main	18000225e	1803b42d6	ExInitializePushLock
180001340	wesp::impl$0::main	18000227f	1803b42d6	ExInitializePushLock
180001340	wesp::impl$0::main	1800022a0	1803b42d6	ExInitializePushLock
180001340	wesp::impl$0::main	1800023b6	1803b6ae0	alloc::raw_vec::RawVecInner<alloc::alloc::Global>::finish_grow<alloc::alloc::Global>
180001340	wesp::impl$0::main	1800023e8	1803b5f30	FUN_1803b5f30
180001340	wesp::impl$0::main	180002408	1803b5f30	FUN_1803b5f30
180001340	wesp::impl$0::main	18000245b	1802de7a0	wesp_lib::client::internal::InternalClient::persisted_store_rule
180001340	wesp::impl$0::main	1800024c5	1802de7a0	wesp_lib::client::internal::InternalClient::persisted_store_rule
180001340	wesp::impl$0::main	18000250d	1802de3e0	wesp_lib::client::state::ClientState::persistable_objects_any_state
180001340	wesp::impl$0::main	18000258d	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002969	1802d6b50	wesp_lib::client::rule_counters::EventTypeCounterGuard::apply_counter_changes
180001340	wesp::impl$0::main	18000297e	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	1800029ce	1803b5640	memmove
180001340	wesp::impl$0::main	1800029e4	1803b5640	memmove
180001340	wesp::impl$0::main	1800029f9	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180002a27	1803b5640	memmove
180001340	wesp::impl$0::main	180002a5a	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180002aa1	1803b42f0	ExInitializeLookasideListEx
180001340	wesp::impl$0::main	180002abe	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180002b05	1803b42f0	ExInitializeLookasideListEx
180001340	wesp::impl$0::main	180002b22	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180002c17	1802ef620	core::ptr::drop_in_place<nt_types::arc::Strong<nt_types::push_lock::PushLock<wesp_lib::event_object::EventObjectManagerInner>_>_>
180001340	wesp::impl$0::main	180002c1f	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002c3f	1803b42f6	ExDeleteLookasideListEx
180001340	wesp::impl$0::main	180002c47	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002c56	1803b42f6	ExDeleteLookasideListEx
180001340	wesp::impl$0::main	180002c5e	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002c66	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002c6e	1802fcea0	nt_types::arc::impl$19::drop<wesp_lib::client::manager::ClientManager>
180001340	wesp::impl$0::main	180002c8b	1803b41f5	ZwClose
180001340	wesp::impl$0::main	180002ca9	1802fc560	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::client::internal::InternalClient>_>
180001340	wesp::impl$0::main	180002cb1	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002cbe	1802fc470	nt_types::arc::impl$7::drop<wesp_lib::client::manager::ClientCollection>
180001340	wesp::impl$0::main	180002d4e	1803b42fc	ObfDereferenceObject
180001340	wesp::impl$0::main	180002d72	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002dec	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002f60	1802dd700	wesp_lib::client::rules::ClientRules::update_rules
180001340	wesp::impl$0::main	180002f68	1803b4302	ExReleaseRundownProtection
180001340	wesp::impl$0::main	180002fc3	1802fddf0	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::rule::Rule>_>
180001340	wesp::impl$0::main	180002fcb	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180002fe1	1803b5f60	FUN_1803b5f60
180001340	wesp::impl$0::main	180003013	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003022	1803b42f6	ExDeleteLookasideListEx
180001340	wesp::impl$0::main	18000302a	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003032	1802fcea0	nt_types::arc::impl$19::drop<wesp_lib::client::manager::ClientManager>
180001340	wesp::impl$0::main	180003042	1802fcea0	nt_types::arc::impl$19::drop<wesp_lib::client::manager::ClientManager>
180001340	wesp::impl$0::main	18000307b	1803b42f6	ExDeleteLookasideListEx
180001340	wesp::impl$0::main	180003083	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003175	1803b6ae0	alloc::raw_vec::RawVecInner<alloc::alloc::Global>::finish_grow<alloc::alloc::Global>
180001340	wesp::impl$0::main	1800031f7	1802de7a0	wesp_lib::client::internal::InternalClient::persisted_store_rule
180001340	wesp::impl$0::main	180003277	1802de7a0	wesp_lib::client::internal::InternalClient::persisted_store_rule
180001340	wesp::impl$0::main	1800032c8	180386e20	wesp_lib::client::ClientObject::update_rules
180001340	wesp::impl$0::main	180003355	1803b42d6	ExInitializePushLock
180001340	wesp::impl$0::main	180003386	1803c63d0	wesp_lib::dispatcher::thread_tracker::ThreadTracker::new
180001340	wesp::impl$0::main	18000339d	1803b0de0	hashbrown::raw::impl$17::drop<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>
180001340	wesp::impl$0::main	1800033aa	1803b0de0	hashbrown::raw::impl$17::drop<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>
180001340	wesp::impl$0::main	18000357e	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	1800035a0	1803b5640	memmove
180001340	wesp::impl$0::main	1800035b0	1803a6380	static_cleanup::StaticCleanup<nt_types::arc::Arc<wesp_lib::EspCore>_>::with_rundown<nt_types::arc::Arc<wesp_lib::EspCore>_>
180001340	wesp::impl$0::main	1800035df	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180003603	1803b42dc	ExAllocatePool2
180001340	wesp::impl$0::main	180003658	1803b4308	ExSubscribeWnfStateChange
180001340	wesp::impl$0::main	18000369e	1803b430e	ExQueryWnfStateData
180001340	wesp::impl$0::main	1800036fa	1802de530	wesp_lib::client::store::ClientPersistedStore::set_boot_id
180001340	wesp::impl$0::main	1800037a9	1802fddf0	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::rule::Rule>_>
180001340	wesp::impl$0::main	1800037b1	1803b4201	ExFreePool
180001340	wesp::impl$0::main	1800037c8	1803b4201	ExFreePool
180001340	wesp::impl$0::main	1800038e7	180381f80	alloc::vec::impl$26::drop<enum2$<wesp_lib::rule::RuleUpdateCommand>,alloc::alloc::Global>
180001340	wesp::impl$0::main	1800038ef	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003909	1802fcdb0	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::EspCore>_>
180001340	wesp::impl$0::main	180003919	1802fcd80	nt_types::arc::impl$7::drop<wesp_lib::EspCore>
180001340	wesp::impl$0::main	18000394e	1803b41f5	ZwClose
180001340	wesp::impl$0::main	180003965	1802fc560	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::client::internal::InternalClient>_>
180001340	wesp::impl$0::main	180003993	1803b41f5	ZwClose
180001340	wesp::impl$0::main	1800039b0	1802fc560	core::ptr::drop_in_place<nt_types::arc::ArcData<wesp_lib::client::internal::InternalClient>_>
180001340	wesp::impl$0::main	1800039b8	1803b4201	ExFreePool
180001340	wesp::impl$0::main	1800039fb	1802dd400	wesp_lib::client::internal::InternalClient::register_trusted_thread
180001340	wesp::impl$0::main	180003b51	1803b42e2	ZwCreateKey
180001340	wesp::impl$0::main	180003bc5	1803b4314	ZwQueryValueKey
180001340	wesp::impl$0::main	180003c0d	1803b55e0	_guard_dispatch_icall
180001340	wesp::impl$0::main	180003c0d	180346600	core::ptr::drop_in_place<wesp_lib::recovery::impl$4::new::closure_env$0>
180001340	wesp::impl$0::main	180003c21	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003c47	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003ca8	18002b6e0	nt_types::arc::impl$7::drop<wesp_lib::EspCore>
180001340	wesp::impl$0::main	180003cc5	1803b420d	ExWaitForRundownProtectionRelease
180001340	wesp::impl$0::main	180003cce	18002b6e0	nt_types::arc::impl$7::drop<wesp_lib::EspCore>
180001340	wesp::impl$0::main	180003cd6	1803b4213	ExRundownCompleted
180001340	wesp::impl$0::main	180003d11	1803c9390	hashbrown::raw::RawTable<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>::reserve_rehash<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global,hashbrown::map::make_hasher::closure_env$0<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData,fnv_hash::FnvHasher>_>
180001340	wesp::impl$0::main	180003d43	1803c9390	hashbrown::raw::RawTable<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>::reserve_rehash<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global,hashbrown::map::make_hasher::closure_env$0<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData,fnv_hash::FnvHasher>_>
180001340	wesp::impl$0::main	180003d6b	1803b0de0	hashbrown::raw::impl$17::drop<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>
180001340	wesp::impl$0::main	180003d73	1803b0de0	hashbrown::raw::impl$17::drop<tuple$<wesp_lib::types::EventId,wesp_lib::dispatcher::correlation::CorrelationData>,hashbrown::raw::alloc::inner::Global>
180001340	wesp::impl$0::main	180003dcb	1803b4219	ExUnsubscribeWnfStateChange
180001340	wesp::impl$0::main	180003de5	1803b55e0	_guard_dispatch_icall
180001340	wesp::impl$0::main	180003de5	180346600	core::ptr::drop_in_place<wesp_lib::recovery::impl$4::new::closure_env$0>
180001340	wesp::impl$0::main	180003df5	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003dfd	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003e9f	1803b41f5	ZwClose
180001340	wesp::impl$0::main	180003eac	1802d4db0	wesp_lib::client::internal::impl$4::drop
180001340	wesp::impl$0::main	180003eb9	18002df40	nt_types::arc::impl$19::drop<wesp_lib::client::context_keys::ClientContextKeys>
180001340	wesp::impl$0::main	180003ec9	1802ee7e0	nt_types::arc::AtomicOption<wesp_lib::event_object::strong_ref::EventObjectTableEntry>::decrement_strong<wesp_lib::event_object::strong_ref::EventObjectTableEntry>
180001340	wesp::impl$0::main	180003edc	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003f25	1803b25e0	wesp_lib::recovery::RecoveryMonitor::recover_persisted_store
180001340	wesp::impl$0::main	180003f40	1803b2b50	wesp_lib::recovery::impl$2::from
180001340	wesp::impl$0::main	180003f76	1803b4219	ExUnsubscribeWnfStateChange
180001340	wesp::impl$0::main	180003f8d	1803b55e0	_guard_dispatch_icall
180001340	wesp::impl$0::main	180003f9d	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003fa5	1803b4201	ExFreePool
180001340	wesp::impl$0::main	180003fbe	18031d120	wesp_lib::persistence::loader::PersistedStateLoader::read_clients
180001340	wesp::impl$0::main	180003fd9	1803945d0	wesp_lib::client::manager::ClientManager::load_persisted_clients
180001340	wesp::impl$0::main	180003fe9	1803b97f0	fltmgr::Filter::with_callbacks_and_contexts<wesp::EspState>
180001340	wesp::impl$0::main	180004034	18002b580	wesp::provider::filesystem::FsProvider::new
180001340	wesp::impl$0::main	18000405e	180032000	cm::callback::register_callback<wesp::EspState,nt_types::unicode::UnicodeStringBorrow>
180001340	wesp::impl$0::main	180004083	180417264	EspFltUninitialize
180001340	wesp::impl$0::main	180004090	1803b40d6	FltUnregisterFilter
180001340	wesp::impl$0::main	1800040d2	1803b42d6	ExInitializePushLock
180001340	wesp::impl$0::main	18000410e	18002e3a0	nt_types::arc::Arc<wesp::EspState>::new<wesp::EspState>
180001340	wesp::impl$0::main	18000414d	18002f870	static_cleanup::StaticCleanup<nt_types::arc::Arc<wesp::EspState>_>::with_rundown<nt_types::arc::Arc<wesp::EspState>_>
180001340	wesp::impl$0::main	18000416d	1803b42b2	ExUnblockOnAddressPushLockEx
180001340	wesp::impl$0::main	18000417a	1800300b0	nt_types::system_thread::SystemThread::spawn<i32_(*)()>
180001340	wesp::impl$0::main	1800041a2	18002fad0	static_cleanup::impl$1::drop<nt_types::arc::Arc<wesp::EspState>_>
180001340	wesp::impl$0::main	1800041c9	18002ca20	nt_types::arc::impl$7::drop<wesp::EspState>
180001340	wesp::impl$0::main	1800041e2	1803b5f60	FUN_1803b5f60
180001340	wesp::impl$0::main	1800041ef	1803b41f5	ZwClose
180001340	wesp::impl$0::main	180004202	1800430e0	fltmgr::Filter::create_port<wesp::EspState,nt_types::unicode::UnicodeStringBorrow>
180001340	wesp::impl$0::main	18000423e	18003fe20	ps::register_ps_notify_routines<wesp_lib::EspCore>
180001340	wesp::impl$0::main	180004265	18003c7f0	ob::register_callback<wesp::EspState,nt_types::unicode::UnicodeStringBorrow>
180001340	wesp::impl$0::main	18000428a	180042950	ps::impl$2::drop<wesp_lib::EspCore>
180001340	wesp::impl$0::main	18000429a	180043080	fltmgr::impl$5::drop<nt_types::arc::Arc<wesp::EspState>_>
