address	name	signature
EXTERNAL:0000003c	FLTMGR.SYS::FltDeletePushLock	undefined FltDeletePushLock(void)
EXTERNAL:0000003d	FLTMGR.SYS::FltInitializePushLock	undefined FltInitializePushLock(void)
EXTERNAL:0000003e	FLTMGR.SYS::FltFreeGenericWorkItem	undefined FltFreeGenericWorkItem(void)
EXTERNAL:0000003f	FLTMGR.SYS::FltAllocateGenericWorkItem	undefined FltAllocateGenericWorkItem(void)
EXTERNAL:00000040	FLTMGR.SYS::FltReleaseContext	undefined FltReleaseContext(void)
EXTERNAL:00000041	FLTMGR.SYS::FltReferenceContext	undefined FltReferenceContext(void)
EXTERNAL:00000042	FLTMGR.SYS::FltGetStreamContext	undefined FltGetStreamContext(void)
EXTERNAL:00000043	FLTMGR.SYS::FltGetInstanceContext	undefined FltGetInstanceContext(void)
EXTERNAL:00000044	FLTMGR.SYS::FltSetStreamHandleContext	undefined FltSetStreamHandleContext(void)
EXTERNAL:00000045	FLTMGR.SYS::FltSetStreamContext	undefined FltSetStreamContext(void)
EXTERNAL:00000046	FLTMGR.SYS::FltSetInstanceContext	undefined FltSetInstanceContext(void)
EXTERNAL:00000047	FLTMGR.SYS::FltAllocateContext	undefined FltAllocateContext(void)
EXTERNAL:00000048	FLTMGR.SYS::FltFreeExtraCreateParameter	undefined FltFreeExtraCreateParameter(void)
EXTERNAL:00000049	FLTMGR.SYS::FltFreeExtraCreateParameterList	undefined FltFreeExtraCreateParameterList(void)
EXTERNAL:0000004a	FLTMGR.SYS::FltInsertExtraCreateParameter	undefined FltInsertExtraCreateParameter(void)
EXTERNAL:0000004b	FLTMGR.SYS::FltAllocateExtraCreateParameterFromLookasideList	undefined FltAllocateExtraCreateParameterFromLookasideList(void)
EXTERNAL:0000004c	FLTMGR.SYS::FltAllocateExtraCreateParameterList	undefined FltAllocateExtraCreateParameterList(void)
EXTERNAL:0000004d	FLTMGR.SYS::FltOpenVolume	undefined FltOpenVolume(void)
EXTERNAL:0000004e	FLTMGR.SYS::FltCreateFileEx2	undefined FltCreateFileEx2(void)
EXTERNAL:0000004f	FLTMGR.SYS::FltDeleteExtraCreateParameterLookasideList	undefined FltDeleteExtraCreateParameterLookasideList(void)
EXTERNAL:00000050	FLTMGR.SYS::FltInitExtraCreateParameterLookasideList	undefined FltInitExtraCreateParameterLookasideList(void)
EXTERNAL:00000051	FLTMGR.SYS::FltGetRoutineAddress	undefined FltGetRoutineAddress(void)
EXTERNAL:00000052	FLTMGR.SYS::FltGetVolumeFromFileObject	undefined FltGetVolumeFromFileObject(void)
EXTERNAL:00000053	NTOSKRNL.EXE::ZwWaitForSingleObject	undefined ZwWaitForSingleObject(void)
EXTERNAL:00000054	NTOSKRNL.EXE::IoCheckEaBufferValidity	undefined IoCheckEaBufferValidity(void)
EXTERNAL:00000055	NTOSKRNL.EXE::IoGetCurrentProcess	undefined IoGetCurrentProcess(void)
EXTERNAL:00000056	NTOSKRNL.EXE::RtlLengthSecurityDescriptor	undefined RtlLengthSecurityDescriptor(void)
EXTERNAL:00000057	NTOSKRNL.EXE::PsTerminateSystemThread	undefined PsTerminateSystemThread(void)
EXTERNAL:00000058	NTOSKRNL.EXE::ObOpenObjectByPointer	undefined ObOpenObjectByPointer(void)
EXTERNAL:00000059	NTOSKRNL.EXE::ZwOpenTransaction	undefined ZwOpenTransaction(void)
EXTERNAL:0000005a	NTOSKRNL.EXE::ZwQueryInformationTransaction	undefined ZwQueryInformationTransaction(void)
EXTERNAL:0000005b	NTOSKRNL.EXE::RtlValidSid	undefined RtlValidSid(void)
EXTERNAL:0000005c	NTOSKRNL.EXE::RtlLengthSid	undefined RtlLengthSid(void)
EXTERNAL:0000005d	NTOSKRNL.EXE::KeSetEvent	undefined KeSetEvent(void)
EXTERNAL:0000005e	NTOSKRNL.EXE::ObQueryNameString	undefined ObQueryNameString(void)
EXTERNAL:0000005f	NTOSKRNL.EXE::ZwQueryInformationToken	undefined ZwQueryInformationToken(void)
EXTERNAL:00000060	NTOSKRNL.EXE::RtlSubAuthorityCountSid	undefined RtlSubAuthorityCountSid(void)
EXTERNAL:00000061	NTOSKRNL.EXE::RtlSubAuthoritySid	undefined RtlSubAuthoritySid(void)
EXTERNAL:00000062	NTOSKRNL.EXE::PsGetCurrentThreadId	undefined PsGetCurrentThreadId(void)
EXTERNAL:00000063	NTOSKRNL.EXE::PsLookupThreadByThreadId	undefined PsLookupThreadByThreadId(void)
EXTERNAL:00000064	NTOSKRNL.EXE::ZwQueryVirtualMemory	undefined ZwQueryVirtualMemory(void)
EXTERNAL:00000065	NTOSKRNL.EXE::ZwQueryInformationProcess	undefined ZwQueryInformationProcess(void)
EXTERNAL:00000066	NTOSKRNL.EXE::ExAcquireRundownProtection	undefined ExAcquireRundownProtection(void)
EXTERNAL:00000067	NTOSKRNL.EXE::PsReferencePrimaryToken	undefined PsReferencePrimaryToken(void)
EXTERNAL:00000069	NTOSKRNL.EXE::RtlCompareAltitudes	undefined RtlCompareAltitudes(void)
EXTERNAL:0000006b	NTOSKRNL.EXE::ExGetPreviousMode	undefined ExGetPreviousMode(void)
EXTERNAL:0000006c	NTOSKRNL.EXE::IoGetStackLimits	undefined IoGetStackLimits(void)
EXTERNAL:0000006d	NTOSKRNL.EXE::KeExpandKernelStackAndCalloutEx	undefined KeExpandKernelStackAndCalloutEx(void)
EXTERNAL:0000006e	NTOSKRNL.EXE::RtlValidRelativeSecurityDescriptor	undefined RtlValidRelativeSecurityDescriptor(void)
EXTERNAL:0000006f	NTOSKRNL.EXE::RtlRandomEx	undefined RtlRandomEx(void)
EXTERNAL:00000070	NTOSKRNL.EXE::MmUnmapViewInSystemSpace	undefined MmUnmapViewInSystemSpace(void)
EXTERNAL:00000071	NTOSKRNL.EXE::ExFreeToLookasideListEx	undefined ExFreeToLookasideListEx(void)
EXTERNAL:00000072	NTOSKRNL.EXE::IoGetTopLevelIrp	undefined IoGetTopLevelIrp(void)
EXTERNAL:00000073	NTOSKRNL.EXE::ZwSetEvent	undefined ZwSetEvent(void)
EXTERNAL:00000074	NTOSKRNL.EXE::ZwOpenSection	undefined ZwOpenSection(void)
EXTERNAL:00000075	NTOSKRNL.EXE::ObReferenceObjectByHandle	undefined ObReferenceObjectByHandle(void)
EXTERNAL:00000076	NTOSKRNL.EXE::MmMapViewInSystemSpace	undefined MmMapViewInSystemSpace(void)
EXTERNAL:00000077	NTOSKRNL.EXE::ExAllocateFromLookasideListEx	undefined ExAllocateFromLookasideListEx(void)
EXTERNAL:00000078	NTOSKRNL.EXE::CmRegisterCallbackEx	undefined CmRegisterCallbackEx(void)
EXTERNAL:0000007d	NTOSKRNL.EXE::ObRegisterCallbacks	undefined ObRegisterCallbacks(void)
EXTERNAL:0000007e	NTOSKRNL.EXE::PsGetProcessStartKey	undefined PsGetProcessStartKey(void)
EXTERNAL:0000007f	NTOSKRNL.EXE::PsSetCreateThreadNotifyRoutineEx	undefined PsSetCreateThreadNotifyRoutineEx(void)
EXTERNAL:00000080	NTOSKRNL.EXE::PsSetLoadImageNotifyRoutineEx	undefined PsSetLoadImageNotifyRoutineEx(void)
EXTERNAL:00000081	NTOSKRNL.EXE::PsLookupProcessByProcessId	undefined PsLookupProcessByProcessId(void)
EXTERNAL:00000082	NTOSKRNL.EXE::PsGetProcessId	undefined PsGetProcessId(void)
EXTERNAL:00000083	NTOSKRNL.EXE::PsGetCurrentProcessId	undefined PsGetCurrentProcessId(void)
EXTERNAL:00000084	NTOSKRNL.EXE::PsGetThreadCreateTime	undefined PsGetThreadCreateTime(void)
EXTERNAL:00000085	NTOSKRNL.EXE::PsCreateSystemThread	undefined PsCreateSystemThread(void)
EXTERNAL:00000086	NTOSKRNL.EXE::PsIsHostSilo	undefined PsIsHostSilo(void)
EXTERNAL:00000087	NTOSKRNL.EXE::CmGetBoundTransaction	undefined CmGetBoundTransaction(void)
EXTERNAL:00000089	NTOSKRNL.EXE::CmCallbackGetKeyObjectIDEx	undefined CmCallbackGetKeyObjectIDEx(void)
EXTERNAL:0000008a	NTOSKRNL.EXE::PsGetThreadId	undefined PsGetThreadId(void)
EXTERNAL:0000008b	NTOSKRNL.EXE::ZwRollbackRegistryTransaction	undefined ZwRollbackRegistryTransaction(void)
EXTERNAL:0000008c	NTOSKRNL.EXE::ZwCreateRegistryTransaction	undefined ZwCreateRegistryTransaction(void)
EXTERNAL:0000008d	NTOSKRNL.EXE::PsGetThreadExitStatus	undefined PsGetThreadExitStatus(void)
EXTERNAL:0000008e	NTOSKRNL.EXE::ZwCommitRegistryTransaction	undefined ZwCommitRegistryTransaction(void)
EXTERNAL:0000008f	NTOSKRNL.EXE::ZwSetValueKey	undefined ZwSetValueKey(void)
EXTERNAL:00000090	NTOSKRNL.EXE::RtlGUIDFromString	undefined RtlGUIDFromString(void)
EXTERNAL:00000091	NTOSKRNL.EXE::ZwQueryKey	undefined ZwQueryKey(void)
EXTERNAL:00000092	NTOSKRNL.EXE::CmCallbackReleaseKeyObjectIDEx	undefined CmCallbackReleaseKeyObjectIDEx(void)
EXTERNAL:00000093	NTOSKRNL.EXE::ObDereferenceObjectDeferDelete	undefined ObDereferenceObjectDeferDelete(void)
EXTERNAL:00000094	NTOSKRNL.EXE::IoGetTransactionParameterBlock	undefined IoGetTransactionParameterBlock(void)
EXTERNAL:00000095	NTOSKRNL.EXE::IoCheckFileObjectOpenedAsCopySource	undefined IoCheckFileObjectOpenedAsCopySource(void)
EXTERNAL:00000096	NTOSKRNL.EXE::FsRtlIsPagingFile	undefined FsRtlIsPagingFile(void)
EXTERNAL:00000097	NTOSKRNL.EXE::IoCheckFileObjectOpenedAsCopyDestination	undefined IoCheckFileObjectOpenedAsCopyDestination(void)
EXTERNAL:00000098	NTOSKRNL.EXE::IoIsFileObjectIgnoringSharing	undefined IoIsFileObjectIgnoringSharing(void)
EXTERNAL:00000099	NTOSKRNL.EXE::FsRtlIsSystemPagingFile	undefined FsRtlIsSystemPagingFile(void)
EXTERNAL:0000009a	NTOSKRNL.EXE::IoGetSilo	undefined IoGetSilo(void)
EXTERNAL:0000009b	NTOSKRNL.EXE::MmDoesFileHaveUserWritableReferences	undefined MmDoesFileHaveUserWritableReferences(void)
EXTERNAL:0000009c	NTOSKRNL.EXE::PsGetProcessExitStatus	undefined PsGetProcessExitStatus(void)
EXTERNAL:0000009d	NTOSKRNL.EXE::RtlDowncaseUnicodeString	undefined RtlDowncaseUnicodeString(void)
