address	size	name	signature	thunk	external	noreturn
1800b93a8	113	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::~ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>	void __thiscall ~ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9420	109	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::ActivityData<class_WespClientProvider,struct__TlgReflectorTag_Param0IsProviderType>::~ActivityData<class_WespClientProvider,struct__TlgReflectorTag_Param0IsProviderType>	void __thiscall ~ActivityData<class_WespClientProvider,struct__TlgReflectorTag_Param0IsProviderType>(ActivityData<class_WespClientProvider,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9494	130	utl::vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_>::~vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_>	void __thiscall ~vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_>(vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_> * this)	false	false	false
1800b951c	259	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::Destroy	void __thiscall Destroy(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9628	222	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::EnsureWatchingCurrentThread	void __thiscall EnsureWatchingCurrentThread(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b970c	113	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::zInternalStart	void __thiscall zInternalStart(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9790	490	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::NotifyFailure	bool __thiscall NotifyFailure(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this, FailureInfo * param_1)	false	false	false
1800b9980	284	wil::ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType>::Stop	void __thiscall Stop(ActivityBase<class_WespClientProvider,0,0,5,0,struct__TlgReflectorTag_Param0IsProviderType> * this, long param_1)	false	false	false
1800b9aa4	125	wil::ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType>::IgnoreCurrentThread	void __thiscall IgnoreCurrentThread(ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9b28	259	wil::ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType>::Destroy	void __thiscall Destroy(ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9c34	113	wil::ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType>::zInternalStart	void __thiscall zInternalStart(ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType> * this)	false	false	false
1800b9cb0	490	wil::ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType>::NotifyFailure	bool __thiscall NotifyFailure(ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType> * this, FailureInfo * param_1)	false	false	false
1800b9ea0	284	wil::ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType>::Stop	void __thiscall Stop(ActivityBase<class_WespClientProvider,0,0,4,0,struct__TlgReflectorTag_Param0IsProviderType> * this, long param_1)	false	false	false
1800b9fc4	400	wil::details_abi::ProcessLocalStorage<struct_wil::details_abi::ProcessLocalData>::~ProcessLocalStorage<struct_wil::details_abi::ProcessLocalData>	void __thiscall ~ProcessLocalStorage<struct_wil::details_abi::ProcessLocalData>(ProcessLocalStorage<struct_wil::details_abi::ProcessLocalData> * this)	false	false	false
1800ba160	78	_tlgWriteActivityAutoStop<0,5>	void __cdecl _tlgWriteActivityAutoStop<0,5>(_tlgProvider_t * param_1, _GUID * param_2)	false	false	false
1800ba1b4	78	_tlgWriteActivityAutoStop<0,4>	void __cdecl _tlgWriteActivityAutoStop<0,4>(_tlgProvider_t * param_1, _GUID * param_2)	false	false	false
1800ba208	511	utl::vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_>::_Grow	bool __thiscall _Grow(vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_> * this)	false	false	false
1800ba410	230	wil::details::static_lazy<class_WespClientProvider>::Completer::~Completer	void __thiscall ~Completer(Completer * this)	false	false	false
1800ba4fc	202	wil::details_abi::ProcessLocalStorageData<struct_wil::details_abi::ProcessLocalData>::~ProcessLocalStorageData<struct_wil::details_abi::ProcessLocalData>	void __thiscall ~ProcessLocalStorageData<struct_wil::details_abi::ProcessLocalData>(ProcessLocalStorageData<struct_wil::details_abi::ProcessLocalData> * this)	false	false	false
1800ba5d0	445	utl::vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_>::_SetCapacity	bool __thiscall _SetCapacity(vector<struct_Esp::RuleUpdateEntry,class_utl::allocator<struct_Esp::RuleUpdateEntry>_> * this, __uint64 param_1)	false	false	false
1800ba794	20	wil::details::in1diag3::_FailFast_Unexpected	noreturn void __cdecl _FailFast_Unexpected(void * param_1, uint param_2, char * param_3)	false	false	true
1800ba7b0	121	utl::_RefCountBase::_DecStrong	void __thiscall _DecStrong(_RefCountBase * this)	false	false	false
1800ba830	84	wil::details::GetLastErrorFailHr	long __cdecl GetLastErrorFailHr(void)	false	false	false
1800ba88c	90	StringCchPrintfW	long __cdecl StringCchPrintfW(wchar_t * param_1, __uint64 param_2, wchar_t * param_3, ...)	false	false	false
1800ba8ec	1812	wil::StoredFailureInfo::SetFailureInfo	void __thiscall SetFailureInfo(StoredFailureInfo * this, FailureInfo * param_1)	false	false	false
1800bb008	97	wil::StoredFailureInfo::~StoredFailureInfo	void __thiscall ~StoredFailureInfo(StoredFailureInfo * this)	false	false	false
1800bb070	60	wil::details::in1diag3::Log_Hr	long __cdecl Log_Hr(void * param_1, uint param_2, char * param_3, long param_4)	false	false	false
1800bb0b4	83	wil::details::ReportFailure_Hr<3>	void __cdecl ReportFailure_Hr<3>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, long param_7, FailureFlags param_8)	false	false	false
1800bb110	158	wil::details::ProcessHeapAlloc	void * __cdecl ProcessHeapAlloc(ulong param_1, __uint64 param_2)	false	false	false
1800bb1b4	158	wil::details::ReportFailure_GetLastErrorHr<1>	long __cdecl ReportFailure_GetLastErrorHr<1>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6)	false	false	false
1800bb258	25	wil::details::in1diag3::Return_GetLastError	long __cdecl Return_GetLastError(void * param_1, uint param_2, char * param_3)	false	false	false
1800bb278	133	StringCchCatW	long __cdecl StringCchCatW(wchar_t * param_1, __uint64 param_2, wchar_t * param_3)	false	false	false
1800bb304	660	wil::details::ReportFailure_Return<1>	void __cdecl ReportFailure_Return<1>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9, FailureFlags param_10)	false	false	false
1800bb5a0	5	wil::details::ReportFailure_Base<1,0>	void __cdecl ReportFailure_Base<1,0>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, ResultStatus * param_7, wchar_t * param_8, ReportFailureOptions param_9, FailureFlags param_10)	false	false	false
1800bb5ac	71	wil::details::ReportFailure_Hr<1>	void __cdecl ReportFailure_Hr<1>(void * param_1, uint param_2, char * param_3, char * param_4, char * param_5, void * param_6, long param_7, FailureFlags param_8)	false	false	false
1800bb5fc	30	wil::details::in1diag3::Return_Hr	void __cdecl Return_Hr(void * param_1, uint param_2, char * param_3, long param_4)	false	false	false
