address	name	source
1800cdb40	EspEnumerateAllClientContextKeys	IMPORTED
1800cdb40	Ordinal_56	IMPORTED
1800cde50	EspSetClientContextKey	IMPORTED
1800cde50	Ordinal_114	IMPORTED
1800ce0e0	EspSetEventObjectContextKey	IMPORTED
1800ce0e0	Ordinal_115	IMPORTED
1800ce2e0	EspGetEventObjectType	IMPORTED
1800ce2e0	Ordinal_72	IMPORTED
1800ce450	EspGetEventObjectId	IMPORTED
1800ce450	Ordinal_71	IMPORTED
1800ce5a0	EspCompleteEventNotification	IMPORTED
1800ce5a0	Ordinal_9	IMPORTED
1800ce7f0	EspEnumerateRuleIds	IMPORTED
1800ce7f0	Ordinal_64	IMPORTED
1800ceba0	EspEnumerateAllRulesForClient	IMPORTED
1800ceba0	Ordinal_58	IMPORTED
1800cef50	EspRemoveRulesForClient	IMPORTED
1800cef50	Ordinal_113	IMPORTED
1800cf1d0	EspRemoveAllRulesForClient	IMPORTED
1800cf1d0	Ordinal_111	IMPORTED
1800cf440	EspUpdateRules	IMPORTED
1800cf440	Ordinal_120	IMPORTED
1800cfc90	EspCloseRule	IMPORTED
1800cfc90	Ordinal_8	IMPORTED
1800cfdf0	EspGetRuleId	IMPORTED
1800cfdf0	Ordinal_74	IMPORTED
1800cff60	EspCreateRule	IMPORTED
1800cff60	Ordinal_45	IMPORTED
1800d0280	EspCloseFilter	IMPORTED
1800d0280	Ordinal_7	IMPORTED
1800d03e0	EspCreateNotFilter	IMPORTED
1800d03e0	Ordinal_35	IMPORTED
1800d0720	EspCreateXorFilter	IMPORTED
1800d0720	Ordinal_52	IMPORTED
1800d09c0	EspCreateOrFilter	IMPORTED
1800d09c0	Ordinal_36	IMPORTED
1800d0c60	EspCreateAndFilter	IMPORTED
1800d0c60	Ordinal_13	IMPORTED
1800d0f00	EspCreateEventFilter	IMPORTED
1800d0f00	Ordinal_20	IMPORTED
1800d10e0	EspCreateClientFilter	IMPORTED
1800d10e0	Ordinal_14	IMPORTED
1800d12c0	EspCreateTokenFilter	IMPORTED
1800d12c0	Ordinal_49	IMPORTED
1800d14a0	EspCreateMailslotFilter	IMPORTED
1800d14a0	Ordinal_33	IMPORTED
1800d1680	EspCreatePipeFilter	IMPORTED
1800d1680	Ordinal_37	IMPORTED
1800d1860	EspCreateKtmTransactionFilter	IMPORTED
1800d1860	Ordinal_32	IMPORTED
1800d1a40	EspCreateDesktopFilter	IMPORTED
1800d1a40	Ordinal_16	IMPORTED
1800d1c20	EspCreateRegistryKeyObjectFilter	IMPORTED
1800d1c20	Ordinal_43	IMPORTED
1800d1e00	EspCreateRegistryKeyFilter	IMPORTED
1800d1e00	Ordinal_42	IMPORTED
1800d1fe0	EspCreateDiskFilter	IMPORTED
1800d1fe0	Ordinal_18	IMPORTED
1800d21c0	EspCreateVolumeFilter	IMPORTED
1800d21c0	Ordinal_50	IMPORTED
1800d23a0	EspCreateFileObjectFilter	IMPORTED
1800d23a0	Ordinal_25	IMPORTED
1800d2580	EspCreateFileFilter	IMPORTED
1800d2580	Ordinal_24	IMPORTED
1800d2760	EspCreateFileStreamFilter	IMPORTED
1800d2760	Ordinal_28	IMPORTED
1800d2940	EspCreateProcessFilter	IMPORTED
1800d2940	Ordinal_39	IMPORTED
1800d2b20	EspCreateThreadFilter	IMPORTED
1800d2b20	Ordinal_46	IMPORTED
1800d2d00	EspCreateFilter	IMPORTED
1800d2d00	Ordinal_31	IMPORTED
1800d2ed0	EspRemoveEventQueueStateChangeCallback	IMPORTED
1800d2ed0	Ordinal_112	IMPORTED
1800d3190	EspSetEventQueueStateChangeCallback	IMPORTED
1800d3190	Ordinal_116	IMPORTED
1800d37a0	EspClearEventQueue	IMPORTED
1800d37a0	Ordinal_3	IMPORTED
1800d3a30	EspGetEventQueueId	IMPORTED
1800d3a30	Ordinal_73	IMPORTED
1800d3ba0	EspDisconnectEventQueue	IMPORTED
1800d3ba0	Ordinal_54	IMPORTED
1800d3ec0	EspOpenEventQueue	IMPORTED
1800d3ec0	Ordinal_93	IMPORTED
1800d42f0	EspCloseEventQueue	IMPORTED
1800d42f0	Ordinal_6	IMPORTED
1800d4520	EspConnectEventQueueWithIocp	IMPORTED
1800d4520	Ordinal_12	IMPORTED
1800d4660	EspConnectEventQueueWithCallback	IMPORTED
1800d4660	Ordinal_11	IMPORTED
1800d4780	EspCreateEventQueue	IMPORTED
1800d4780	Ordinal_23	IMPORTED
1800d4c70	EspArmEventNotification	IMPORTED
1800d4c70	Ordinal_2	IMPORTED
1800d4f40	EspFreeEventNotification	IMPORTED
1800d4f40	Ordinal_65	IMPORTED
1800d5070	EspAllocateEventNotification	IMPORTED
1800d5070	Ordinal_1	IMPORTED
1800d51a0	EspQueryClientDescriptor	IMPORTED
1800d51a0	Ordinal_94	IMPORTED
1800d5510	EspEnumerateConnectedClients	IMPORTED
1800d5510	Ordinal_61	IMPORTED
1800d5830	EspEnumerateRegisteredClients	IMPORTED
1800d5830	Ordinal_63	IMPORTED
1800d5b50	EspDisconnectClient	IMPORTED
1800d5b50	Ordinal_53	IMPORTED
1800d5df0	EspConnectClient	IMPORTED
1800d5df0	Ordinal_10	IMPORTED
1800d62f0	EspUnregisterClient	IMPORTED
1800d62f0	Ordinal_118	IMPORTED
1800d65e0	EspRegisterClient	IMPORTED
1800d65e0	Ordinal_110	IMPORTED
